brand,body_type,year,month,fuel_type,transmission,engine_vol,mileage_k,condition,owners,reg_type,fuel_efficiency,max_power,seats,segment,price_inr,age,mileage_per_year,age_squared,brand_tier
Mahindra,SUV,2017,3,Diesel,Manual,2.5,35.0,Excellent,1,Taxi,16.6,105.0,6,Mid-Range,775000,9.1,3.8,82.8,2
Maruti Suzuki,Sedan,2015,4,Petrol + CNG,Manual,1.2,58.5,Good,1,Private,18.5,85.8,5,Budget,350000,11.0,5.3,121.0,1
Maruti Suzuki,Hatchback,2018,3,Petrol,Manual,1.2,20.0,Excellent,1,Taxi,21.4,83.1,5,Budget,575000,8.1,2.5,65.6,1
Nissan,Hatchback,2011,9,Petrol,Manual,1.2,43.5,Good,2,Private,18.1,75.0,5,Budget,200000,14.6,3.0,213.2,1
Tata,Hatchback,2018,11,Diesel,Manual,2.2,30.0,Good,1,Bharat,17.6,153.9,7,Budget,1575000,7.4,4.1,54.8,1
Ford,SUV,2015,4,Diesel,Manual,1.5,63.0,Good,1,Private,22.8,98.6,5,Mid-Range,600000,11.0,5.7,121.0,2
Mahindra,Sedan,2016,6,Diesel,Manual,2.5,35.0,Excellent,1,Private,16.0,62.1,7,Mid-Range,720000,9.8,3.6,96.0,2
Tata,SUV,2012,8,Diesel + CNG,Manual,1.4,110.0,Good,2,Private,19.1,69.0,5,Budget,158000,13.7,8.0,187.7,1
Tata,MUV,2018,11,Diesel,Manual,2.2,25.0,Excellent,1,Private,17.6,153.9,7,Budget,1575000,7.4,3.4,54.8,1
Hyundai,Sedan,2017,8,Petrol,Automatic,1.2,30.0,Excellent,1,Private,17.4,81.9,5,Mid-Range,580000,8.7,3.4,75.7,2
Mahindra,Hatchback,2012,5,Diesel,Manual,2.5,50.0,Excellent,1,Taxi,16.0,62.1,7,Mid-Range,420000,13.9,3.6,193.2,2
Mahindra,MUV,2018,5,Diesel,Manual,1.5,35.0,Excellent,1,Private,17.3,121.0,8,Mid-Range,1200000,7.9,4.4,62.4,2
Renault,Hatchback,2018,6,Petrol,Manual,1.0,30.0,Excellent,1,Private,23.0,67.0,5,Budget,350000,7.8,3.8,60.8,1
Honda,Sedan,2014,10,Petrol,Manual,1.5,56.0,Excellent,1,Private,17.4,117.3,5,Mid-Range,650000,11.5,4.9,132.2,2
Maruti Suzuki,Hatchback,2017,7,Petrol,Manual,1.0,12.7,Good,1,Private,20.5,67.0,5,Budget,400000,8.8,1.4,77.4,1
Tata,SUV,2018,10,Diesel + CNG,Manual,1.5,35.0,Good,1,Taxi,21.5,108.5,5,Budget,700000,7.5,4.7,56.2,1
Hyundai,Hatchback,2017,7,Petrol + CNG,Manual,1.2,30.0,Excellent,1,Taxi,19.1,82.0,5,Mid-Range,520000,8.8,3.4,77.4,2
Mahindra,SUV,2012,4,Diesel,Manual,2.2,120.0,Good,1,Private,12.0,120.0,9,Mid-Range,450000,14.0,8.6,196.0,2
Tata,SUV,2017,6,Diesel,Manual,2.2,100.0,Good,1,Private,14.1,147.9,7,Budget,850000,8.8,11.4,77.4,1
Renault,Hatchback,2017,7,Petrol,Manual,0.8,34.0,Excellent,1,Private,25.2,53.3,5,Budget,350000,8.8,3.9,77.4,1
Mahindra,SUV,2011,5,Diesel + CNG,Manual,2.5,56.0,Good,1,Private,13.0,95.0,8,Mid-Range,450000,14.9,3.8,222.0,2
Hyundai,Hatchback,2008,5,Petrol,Manual,1.1,90.0,Good,1,Private,19.8,68.0,5,Mid-Range,165000,17.9,5.0,320.4,2
Hyundai,Hatchback,2010,2,Petrol,Manual,1.1,65.0,Excellent,2,Private,17.9,62.1,5,Mid-Range,160000,16.2,4.0,262.4,2
Tata,SUV,2011,7,Diesel,Manual,2.2,80.0,Good,1,Private,13.9,138.0,7,Budget,300000,14.8,5.4,219.0,1
Mahindra,SUV,2012,12,Diesel,Manual,2.2,90.0,Good,3,Private,12.0,120.0,8,Mid-Range,550000,13.3,6.8,176.9,2
Maruti Suzuki,Hatchback,2015,6,Petrol,Manual,1.0,40.0,Good,1,Private,24.0,67.0,5,Budget,285000,10.8,3.7,116.6,1
Hyundai,SUV,2016,11,Diesel,Manual,1.6,58.0,Good,1,Private,19.7,126.2,5,Mid-Range,850000,9.4,6.2,88.4,2
Ford,Sedan,2018,1,Petrol,Manual,1.2,19.1,Excellent,1,Private,19.0,94.7,5,Mid-Range,700000,8.2,2.3,67.2,2
Maruti Suzuki,MUV,2018,4,Petrol,Manual,1.5,25.0,Excellent,1,Private,19.3,103.0,7,Budget,900000,8.0,3.1,64.0,1
Maruti Suzuki,MUV,2005,3,Petrol + CNG,Manual,0.8,49.5,Good,1,Bharat,19.7,46.3,5,Budget,180000,21.1,2.3,445.2,1
Hyundai,SUV,2016,12,Petrol + CNG,Manual,0.8,100.0,Good,1,Private,21.1,55.2,5,Mid-Range,220000,9.3,10.8,86.5,2
Tata,SUV,2013,3,Diesel,Manual,1.2,120.0,Good,1,Private,22.3,74.0,5,Budget,120000,13.1,9.2,171.6,1
Hyundai,Hatchback,2010,7,Petrol,Manual,1.2,90.0,Good,4,Private,17.0,80.0,5,Mid-Range,220000,15.8,5.7,249.6,2
Chevrolet,Hatchback,2013,11,Diesel,Manual,1.2,46.8,Good,2,Taxi,22.1,76.9,5,Budget,420000,12.4,3.8,153.8,1
Tata,SUV,2013,12,Diesel,Manual,1.4,110.0,Good,1,Private,19.4,70.0,5,Budget,160000,12.3,8.9,151.3,1
Hyundai,Sedan,2015,10,Petrol,Manual,0.8,80.0,Excellent,1,Private,21.1,55.2,5,Mid-Range,250000,10.5,7.6,110.2,2
Maruti Suzuki,MUV,2013,4,Diesel,Manual,1.2,100.0,Good,3,Private,20.8,88.8,7,Budget,385000,13.0,7.7,169.0,1
Maruti Suzuki,Hatchback,2014,12,Petrol,Manual,1.0,80.0,Good,1,Private,20.5,67.1,5,Budget,318000,11.3,7.1,127.7,1
Hyundai,SUV,2018,8,Petrol,Manual,1.2,40.0,Excellent,1,Private,20.1,81.9,5,Mid-Range,480000,7.7,5.2,59.3,2
Maruti Suzuki,Hatchback,2015,11,Petrol,Manual,1.0,70.0,Good,3,Private,23.1,67.0,5,Budget,330000,10.4,6.7,108.2,1
Tata,Hatchback,2011,9,Diesel,Manual,1.4,80.0,Good,1,Taxi,17.0,71.0,5,Budget,152000,14.6,5.5,213.2,1
Maruti Suzuki,MUV,2014,3,Petrol,Manual,0.8,40.0,Good,1,Private,22.7,47.3,5,Budget,250000,12.1,3.3,146.4,1
Tata,Hatchback,2011,5,Diesel,Manual,1.4,80.0,Fair,1,Private,17.0,71.0,5,Budget,248000,14.9,5.4,222.0,1
Nissan,Hatchback,2011,4,Petrol,Manual,1.2,60.0,Good,2,Taxi,18.1,75.0,5,Budget,300000,15.0,4.0,225.0,1
Hyundai,Hatchback,2017,12,Petrol,Manual,1.2,50.0,Excellent,1,Private,18.6,81.8,5,Mid-Range,550000,8.3,6.0,68.9,2
Hyundai,Hatchback,2016,10,Diesel,Manual,1.4,30.0,Good,1,Private,22.5,88.7,5,Mid-Range,650000,9.5,3.2,90.2,2
Hyundai,Hatchback,2017,6,Petrol,Manual,1.2,25.0,Excellent,1,Private,18.9,82.0,5,Mid-Range,445000,8.8,2.8,77.4,2
Toyota,MUV,2010,11,Diesel,Manual,2.5,334.0,Fair,1,Taxi,12.8,102.0,7,Mid-Range,450000,15.4,21.7,237.2,2
Mahindra,Sedan,2016,10,Diesel,Manual,1.5,100.0,Good,1,Private,17.4,100.0,7,Mid-Range,600000,9.5,10.5,90.2,2
Renault,Minivan,2014,4,Diesel,Manual,1.5,175.0,Good,1,Private,19.0,108.4,5,Budget,495000,12.0,14.6,144.0,1
Maruti Suzuki,Hatchback,2011,8,Petrol + CNG,Automatic,1.6,65.0,Fair,3,Private,12.6,103.3,5,Budget,220000,14.7,4.4,216.1,1
Maruti Suzuki,Hatchback,2011,3,Petrol,Automatic,1.6,65.0,Good,3,Taxi,12.6,103.3,5,Budget,260000,15.1,4.3,228.0,1
Hyundai,Hatchback,2009,11,Petrol,Manual,1.1,90.0,Fair,1,Taxi,17.9,62.1,5,Mid-Range,150000,16.4,5.5,269.0,2
Ford,Hatchback,2011,5,Diesel,Manual,1.4,80.0,Poor,2,Private,20.0,68.0,5,Mid-Range,200000,14.9,5.4,222.0,2
Mahindra,SUV,2018,1,Diesel,Manual,2.2,110.0,Good,1,Private,16.4,140.0,7,Mid-Range,1465000,8.2,13.4,67.2,2
Toyota,Sedan,2012,6,Diesel,Manual,1.5,80.0,Good,2,Private,18.0,80.0,5,Mid-Range,285000,13.8,5.8,190.4,2
Honda,Sedan,2008,11,Petrol,Automatic,1.3,60.0,Good,3,Private,20.0,108.5,5,Mid-Range,250000,17.4,3.4,302.8,2
Mahindra,Hatchback,2014,5,Diesel,Manual,2.5,160.0,Good,1,Private,15.0,93.7,7,Mid-Range,310000,11.9,13.4,141.6,2
Mahindra,SUV,2010,8,Diesel,Automatic,2.2,100.9,Good,1,Private,11.8,120.0,8,Mid-Range,600000,15.7,6.4,246.5,2
Maruti Suzuki,Hatchback,2018,9,Petrol + CNG,Manual,1.2,20.0,Excellent,1,Private,21.4,83.1,5,Budget,560000,7.6,2.6,57.8,1
Maruti Suzuki,Sedan,2016,8,Petrol,Manual,1.2,30.0,Fair,1,Private,20.8,83.1,5,Budget,500000,9.7,3.1,94.1,1
Hyundai,Hatchback,2013,8,Diesel,Manual,1.1,118.0,Good,1,Private,24.0,70.0,5,Mid-Range,270000,12.7,9.3,161.3,2
Hyundai,Sedan,2013,12,Diesel + CNG,Manual,1.6,69.0,Excellent,3,Private,22.3,126.3,5,Mid-Range,420000,12.3,5.6,151.3,2
Maruti Suzuki,Sedan,2015,3,Petrol,Manual,1.2,25.0,Excellent,2,Private,20.8,83.1,5,Budget,434999,11.1,2.3,123.2,1
Hyundai,Sedan,2015,4,Petrol,Automatic,1.2,100.0,Good,1,Private,16.9,81.9,5,Mid-Range,400000,11.0,9.1,121.0,2
Maruti Suzuki,Sedan,2015,11,Diesel,Manual,1.2,110.0,Good,1,Private,26.6,74.0,5,Budget,470000,10.4,10.6,108.2,1
Nissan,SUV,2015,4,Diesel,Manual,1.5,60.0,Good,3,Private,20.4,83.8,5,Budget,480000,11.0,5.5,121.0,1
Hyundai,Hatchback,2008,11,Petrol,Manual,1.1,128.0,Fair,1,Private,0.0,62.0,5,Mid-Range,105000,17.4,7.4,302.8,2
Tata,Hatchback,2017,5,Diesel,Manual,1.0,120.0,Good,1,Bharat,27.3,69.0,5,Budget,325000,8.9,13.5,79.2,1
Toyota,Sedan,2012,9,Diesel,Manual,1.5,80.0,Good,2,Private,18.0,80.0,5,Mid-Range,280000,13.6,5.9,185.0,2
Hyundai,Hatchback,2020,12,Petrol,Automatic,1.2,5.0,Excellent,1,Bharat,20.7,81.9,5,Mid-Range,675000,5.3,0.9,28.1,2
Hyundai,Hatchback,2009,9,Petrol,Manual,1.2,90.0,Good,2,Private,20.4,78.9,5,Mid-Range,170000,16.6,5.4,275.6,2
Hyundai,SUV,2017,10,Diesel,Manual,1.6,90.0,Excellent,1,Private,19.7,126.2,5,Mid-Range,1250000,8.5,10.6,72.2,2
Honda,Sedan,2012,12,Petrol,Manual,2.4,144.0,Excellent,1,Private,12.8,177.6,5,Mid-Range,600000,13.3,10.8,176.9,2
Honda,Sedan,2014,1,Diesel,Manual,1.5,200.0,Fair,1,Private,25.1,98.6,5,Mid-Range,819999,12.2,16.4,148.8,2
Hyundai,Hatchback,2016,8,Petrol,Manual,1.2,29.0,Excellent,1,Private,18.6,81.8,5,Mid-Range,650000,9.7,3.0,94.1,2
Maruti Suzuki,Hatchback,2007,1,Petrol + CNG,Manual,1.1,90.0,Fair,2,Private,17.3,57.5,5,Budget,105000,19.2,4.7,368.6,1
Mahindra,Sedan,2009,2,Diesel,Manual,1.5,176.0,Fair,2,Bharat,17.0,66.0,5,Mid-Range,200000,17.2,10.2,295.8,2
Tata,Hatchback,2013,7,Diesel,Manual,1.4,150.0,Fair,1,Private,19.1,69.0,5,Budget,200000,12.8,11.7,163.8,1
Maruti Suzuki,Minivan,2016,8,Petrol + CNG,Manual,0.8,90.0,Excellent,1,Private,16.8,34.2,8,Budget,220000,9.7,9.3,94.1,1
Volkswagen,Sedan,2014,1,Petrol,Manual,1.6,70.0,Good,2,Private,15.0,103.2,5,Mid-Range,500000,12.2,5.7,148.8,2
Mahindra,Sedan,2007,3,Diesel,Manual,1.5,99.0,Fair,2,Private,19.2,65.0,5,Mid-Range,175000,19.1,5.2,364.8,2
Tata,Hatchback,2018,7,Petrol + CNG,Manual,1.2,5.0,Excellent,1,Private,23.8,84.0,5,Budget,450000,7.8,0.6,60.8,1
Chevrolet,SUV,2008,9,Diesel,Manual,2.0,90.0,Fair,4,Private,16.5,123.7,5,Budget,210000,17.6,5.1,309.8,1
Maruti Suzuki,Hatchback,2011,8,Diesel,Manual,1.2,89.0,Good,2,Private,21.1,73.9,5,Budget,270000,14.7,6.1,216.1,1
Tata,Sedan,2006,8,Diesel,Manual,1.4,88.0,Excellent,2,Private,16.8,62.0,5,Budget,110000,19.7,4.5,388.1,1
Maruti Suzuki,Sedan,2015,9,Diesel,Manual,1.2,30.0,Good,1,Private,26.6,74.0,5,Budget,480000,10.6,2.8,112.4,1
Maruti Suzuki,Sedan,2016,10,Diesel,Automatic,1.2,50.0,Good,2,Private,26.6,74.0,5,Budget,650000,9.5,5.3,90.2,1
Maruti Suzuki,Sedan,2013,3,Diesel,Manual,1.2,80.0,Good,1,Private,23.4,74.0,5,Budget,480000,13.1,6.1,171.6,1
Hyundai,Hatchback,2016,8,Diesel,Manual,1.4,40.0,Excellent,1,Bharat,22.5,88.7,5,Mid-Range,700000,9.7,4.1,94.1,2
Maruti Suzuki,MUV,2015,1,Diesel,Manual,1.2,110.0,Good,3,Private,20.8,88.8,7,Budget,650000,11.2,9.8,125.4,1
Hyundai,SUV,2015,8,Diesel,Manual,1.6,48.0,Good,2,Private,19.7,126.2,5,Mid-Range,1300000,10.7,4.5,114.5,2
Volkswagen,Sedan,2016,7,Diesel,Automatic,2.0,97.0,Excellent,1,Private,17.0,138.0,5,Mid-Range,1350000,9.8,9.9,96.0,2
Volkswagen,Sedan,2016,8,Diesel,Automatic,1.5,60.0,Excellent,1,Private,22.2,108.6,5,Mid-Range,1000000,9.7,6.2,94.1,2
Mercedes-Benz,SUV,2011,1,Diesel,Automatic,3.0,110.0,Good,3,Private,0.0,165.0,5,Premium,1700000,15.2,7.2,231.0,3
Toyota,Sedan,2018,6,Petrol,Automatic,1.5,12.8,Excellent,1,Private,17.8,105.5,5,Mid-Range,1080000,7.8,1.6,60.8,2
Hyundai,Hatchback,2012,7,Petrol,Manual,0.8,40.0,Fair,1,Private,21.1,55.2,5,Mid-Range,170000,13.8,2.9,190.4,2
Maruti Suzuki,Hatchback,2017,11,Diesel,Manual,1.2,49.0,Good,1,Private,28.4,74.0,5,Budget,610000,8.4,5.8,70.6,1
Maruti Suzuki,SUV,2014,5,Petrol,Manual,1.2,25.0,Good,1,Private,18.5,85.8,5,Budget,350000,11.9,2.1,141.6,1
Maruti Suzuki,SUV,2016,5,Petrol,Manual,0.8,65.0,Excellent,2,Private,22.7,47.3,5,Budget,260000,9.9,6.6,98.0,1
Fiat,SUV,2015,7,Diesel,Manual,1.2,20.0,Excellent,1,Private,20.4,91.7,5,Budget,700000,10.8,1.9,116.6,1
Volkswagen,Hatchback,2018,11,Petrol,Manual,1.0,17.0,Excellent,1,Private,18.8,75.0,5,Mid-Range,678000,7.4,2.3,54.8,2
Maruti Suzuki,Sedan,2015,3,Diesel,Manual,1.2,15.0,Good,1,Private,23.6,88.5,5,Budget,800000,11.1,1.4,123.2,1
Toyota,SUV,2014,6,Diesel + CNG,Manual,1.4,120.0,Good,2,Private,23.6,67.0,5,Mid-Range,400000,11.8,10.2,139.2,2
Hyundai,Hatchback,2010,7,Petrol,Manual,1.2,49.0,Fair,1,Private,18.5,80.0,5,Mid-Range,300000,15.8,3.1,249.6,2
Hyundai,Hatchback,2016,1,Petrol,Manual,1.2,29.0,Excellent,1,Taxi,18.6,81.8,5,Mid-Range,520000,10.2,2.8,104.0,2
Nissan,SUV,2017,12,Diesel,Automatic,1.5,55.0,Good,1,Private,19.6,108.5,5,Budget,850000,8.3,6.6,68.9,1
Mahindra,MUV,2019,2,Diesel,Manual,1.5,5.0,Good,1,Bharat,17.3,121.0,7,Mid-Range,1460000,7.2,0.7,51.8,2
Tata,SUV,2017,12,Diesel,Manual,1.5,35.0,Excellent,1,Private,21.5,108.5,5,Budget,830000,8.3,4.2,68.9,1
Datsun,Sedan,2018,4,Petrol,Manual,1.2,5.0,Excellent,2,Private,20.6,67.0,5,Budget,430000,8.0,0.6,64.0,1
Ford,SUV,2017,8,Diesel,Manual,1.5,60.0,Good,1,Private,22.8,98.6,5,Mid-Range,850000,8.7,6.9,75.7,2
Maruti Suzuki,Sedan,2017,11,Petrol,Manual,1.2,70.0,Excellent,1,Private,20.8,83.1,5,Budget,650000,8.4,8.3,70.6,1
Hyundai,Sedan,2008,10,Diesel,Manual,1.5,120.0,Good,2,Private,16.8,110.0,5,Mid-Range,120000,17.5,6.9,306.2,2
Mahindra,SUV,2016,6,Diesel,Manual,1.5,65.1,Good,2,Private,18.5,100.0,7,Mid-Range,730000,9.8,6.6,96.0,2
Maruti Suzuki,Hatchback,2019,1,Petrol,Automatic,1.2,20.0,Excellent,1,Private,20.9,81.8,5,Budget,525000,7.2,2.8,51.8,1
Hyundai,Hatchback,2015,10,Diesel + CNG,Manual,1.4,108.0,Good,1,Private,21.2,88.7,5,Mid-Range,600000,10.5,10.3,110.2,2
Maruti Suzuki,Hatchback,2019,5,Petrol,Manual,1.2,15.0,Excellent,1,Private,21.2,81.8,5,Budget,500000,6.9,2.2,47.6,1
Hyundai,Hatchback,2009,7,Petrol + CNG,Manual,1.1,77.0,Excellent,1,Private,17.9,62.1,5,Mid-Range,150000,16.8,4.6,282.2,2
Maruti Suzuki,Hatchback,2015,6,Petrol,Manual,1.0,18.5,Good,1,Taxi,20.5,67.0,5,Budget,409999,10.8,1.7,116.6,1
Mahindra,SUV,2016,12,Diesel,Manual,1.5,120.0,Fair,1,Private,18.5,100.0,7,Mid-Range,625000,9.3,12.9,86.5,2
Renault,Hatchback,2015,9,Petrol,Manual,0.8,15.2,Excellent,1,Private,25.2,53.3,5,Budget,290000,10.6,1.4,112.4,1
Honda,MUV,2015,8,Petrol,Manual,1.5,35.0,Excellent,1,Bharat,17.3,117.3,7,Mid-Range,500000,10.7,3.3,114.5,2
Hyundai,Sedan,2011,4,Diesel,Manual,1.6,80.0,Good,1,Private,22.3,126.3,5,Mid-Range,475000,15.0,5.3,225.0,2
Hyundai,SUV,2013,11,Petrol,Manual,0.8,70.0,Fair,1,Private,21.1,55.2,5,Mid-Range,190000,12.4,5.6,153.8,2
Mahindra,SUV,2014,12,Diesel,Manual,2.2,80.0,Good,2,Bharat,15.1,140.0,7,Mid-Range,750000,11.3,7.1,127.7,2
Nissan,SUV,2014,5,Diesel,Manual,1.5,120.0,Good,2,Private,19.0,108.5,5,Budget,525000,11.9,10.1,141.6,1
Chevrolet,Sedan,2012,7,Diesel,Manual,2.0,82.0,Good,3,Private,17.3,163.7,5,Budget,495000,13.8,5.9,190.4,1
Jaguar,SUV,2017,8,Diesel,Automatic,2.0,9.0,Good,1,Private,13.6,177.0,5,Premium,2625000,8.7,1.0,75.7,3
Lexus,Hatchback,2019,5,Petrol,Automatic,2.5,20.0,Excellent,1,Private,22.4,214.6,5,Premium,5150000,6.9,2.9,47.6,3
Jaguar,Sedan,2017,9,Diesel,Automatic,2.0,45.0,Good,1,Private,19.3,177.0,5,Premium,3200000,8.6,5.2,74.0,3
Tata,SUV,2015,10,Diesel,Manual,2.2,110.0,Excellent,1,Private,14.1,147.9,7,Budget,503000,10.5,10.5,110.2,1
Volvo,SUV,2019,12,Diesel,Automatic,2.0,20.0,Excellent,1,Private,18.0,190.0,5,Premium,3800000,6.3,3.2,39.7,3
Toyota,Sedan,2016,4,Petrol,Automatic,2.5,68.1,Excellent,1,Private,19.2,157.7,5,Mid-Range,2000000,10.0,6.8,100.0,2
Maruti Suzuki,Hatchback,2013,4,Petrol,Manual,1.0,58.3,Good,1,Private,21.8,67.0,5,Budget,225000,13.0,4.5,169.0,1
Maruti Suzuki,Hatchback,2018,8,Diesel,Manual,1.2,38.8,Excellent,1,Private,27.4,74.0,5,Budget,740000,7.7,5.0,59.3,1
Honda,Hatchback,2016,1,Petrol,Manual,1.2,56.5,Good,1,Private,18.2,88.7,5,Mid-Range,550000,10.2,5.5,104.0,2
Toyota,MUV,2013,8,Diesel,Manual,2.5,79.3,Good,2,Private,13.0,100.6,7,Mid-Range,750000,12.7,6.2,161.3,2
Maruti Suzuki,Hatchback,2019,5,Petrol,Automatic,1.2,5.6,Good,1,Private,22.0,81.8,5,Budget,650000,6.9,0.8,47.6,1
Toyota,Sedan,2017,11,Petrol,Manual,1.5,25.5,Good,1,Taxi,16.8,88.7,5,Mid-Range,625000,8.4,3.0,70.6,2
Maruti Suzuki,Hatchback,2018,1,Petrol,Automatic,1.2,69.8,Excellent,1,Private,22.0,81.8,5,Budget,600000,8.2,8.5,67.2,1
Hyundai,Hatchback,2017,4,Diesel,Manual,1.2,56.3,Excellent,1,Private,24.0,74.0,5,Mid-Range,450000,9.0,6.3,81.0,2
BMW,SUV,2019,2,Diesel,Automatic,2.0,7.5,Excellent,1,Private,16.8,190.0,5,Premium,5400000,7.2,1.0,51.8,3
BMW,Sedan,2019,4,Diesel,Automatic,2.0,8.5,Excellent,1,Private,16.8,190.0,5,Premium,5500000,7.0,1.2,49.0,3
Honda,Sedan,2019,8,Petrol,Automatic,1.2,7.0,Good,1,Private,19.0,88.8,5,Mid-Range,779000,6.7,1.0,44.9,2
Skoda,Sedan,2016,5,Petrol,Automatic,1.6,11.0,Good,1,Bharat,14.3,103.5,5,Mid-Range,645000,9.9,1.1,98.0,2
Volvo,SUV,2018,1,Diesel,Automatic,2.0,2.0,Excellent,1,Private,16.8,150.0,5,Premium,2475000,8.2,0.2,67.2,3
Honda,Sedan,2010,7,Petrol,Automatic,1.5,60.0,Fair,2,Bharat,16.8,118.0,5,Mid-Range,321000,15.8,3.8,249.6,2
Toyota,Sedan,2017,1,Petrol,Manual,1.2,50.0,Excellent,1,Private,17.7,78.9,5,Mid-Range,585000,9.2,5.4,84.6,2
Ford,Hatchback,2011,9,Diesel,Manual,1.4,70.0,Fair,1,Taxi,20.0,68.0,5,Mid-Range,225000,14.6,4.8,213.2,2
Honda,Sedan,2017,3,Diesel,Manual,1.5,70.0,Good,1,Private,25.8,98.6,5,Mid-Range,500000,9.1,7.7,82.8,2
Hyundai,Hatchback,2011,12,Diesel,Manual,1.4,90.0,Good,3,Taxi,23.0,90.0,5,Mid-Range,350000,14.3,6.3,204.5,2
Maruti Suzuki,MUV,2016,3,Diesel,Manual,1.2,70.0,Good,2,Private,24.5,88.5,7,Budget,756000,10.1,6.9,102.0,1
Maruti Suzuki,Hatchback,2014,6,Petrol,Manual,0.8,50.0,Excellent,1,Taxi,22.7,47.3,5,Budget,240000,11.8,4.2,139.2,1
Maruti Suzuki,Minivan,2012,10,Petrol,Manual,0.8,120.0,Good,2,Private,19.7,35.0,8,Budget,80000,13.5,8.9,182.2,1
Hyundai,Hatchback,2019,6,Petrol,Manual,1.2,5.0,Excellent,1,Private,17.2,81.9,5,Mid-Range,800000,6.8,0.7,46.2,2
Tata,Sedan,2018,11,Diesel,Manual,2.2,25.0,Excellent,1,Private,17.6,147.9,7,Budget,1250000,7.4,3.4,54.8,1
Mahindra,SUV,2009,11,Diesel,Manual,2.2,80.0,Good,3,Private,12.0,120.0,7,Mid-Range,320000,16.4,4.9,269.0,2
Hyundai,Hatchback,2017,6,Petrol,Manual,1.2,25.0,Excellent,1,Private,18.9,82.0,5,Mid-Range,509999,8.8,2.8,77.4,2
Tata,SUV,2019,1,Diesel + CNG,Manual,1.2,15.0,Excellent,1,Bharat,23.0,74.0,5,Budget,650000,7.2,2.1,51.8,1
Maruti Suzuki,SUV,2011,5,Petrol,Manual,1.0,35.0,Good,2,Private,20.9,67.1,5,Budget,210000,14.9,2.3,222.0,1
Maruti Suzuki,Hatchback,2008,12,Petrol,Manual,0.8,80.0,Good,2,Private,19.7,46.3,5,Budget,110000,17.3,4.6,299.3,1
Tata,SUV,2017,6,Diesel,Manual,1.5,25.0,Excellent,1,Private,21.5,108.5,5,Budget,665000,8.8,2.8,77.4,1
Volkswagen,MUV,2017,8,Diesel,Manual,1.5,52.0,Excellent,1,Private,21.7,108.6,5,Mid-Range,555000,8.7,6.0,75.7,2
Volkswagen,Sedan,2017,1,Diesel,Manual,1.5,52.0,Good,1,Private,21.7,108.6,5,Mid-Range,560000,9.2,5.7,84.6,2
Mahindra,SUV,2016,5,Diesel,Manual,1.2,80.0,Excellent,1,Taxi,25.3,77.0,6,Mid-Range,375000,9.9,8.1,98.0,2
Maruti Suzuki,Hatchback,2011,3,Diesel,Manual,1.5,77.0,Good,2,Private,18.0,80.0,5,Budget,290000,15.1,5.1,228.0,1
Toyota,SUV,2017,2,Diesel,Automatic,2.8,50.0,Excellent,1,Private,15.0,174.5,7,Mid-Range,2950000,9.2,5.4,84.6,2
Maruti Suzuki,Sedan,2017,11,Diesel,Manual,1.2,127.0,Good,1,Private,28.4,74.0,5,Budget,605000,8.4,15.1,70.6,1
Honda,Sedan,2017,8,Petrol,Manual,1.2,30.0,Excellent,1,Private,17.5,88.7,5,Mid-Range,720000,8.7,3.4,75.7,2
Maruti Suzuki,MUV,2017,7,Diesel,Manual,1.2,70.0,Good,1,Private,24.5,88.5,7,Budget,800000,8.8,8.0,77.4,1
Mahindra,SUV,2017,10,Diesel,Manual,2.2,54.0,Good,1,Private,16.0,140.0,7,Mid-Range,1325000,8.5,6.4,72.2,2
Mitsubishi,MUV,2011,7,Diesel,Manual,2.8,120.0,Good,2,Private,10.5,116.9,6,Mid-Range,625000,14.8,8.1,219.0,2
Hyundai,Hatchback,2011,5,Diesel,Manual,1.4,116.5,Good,1,Private,23.0,90.0,5,Mid-Range,350000,14.9,7.8,222.0,2
Toyota,MUV,2012,12,Diesel,Manual,2.5,145.0,Good,2,Private,13.0,100.0,8,Mid-Range,600000,13.3,10.9,176.9,2
Hyundai,Hatchback,2012,9,Petrol,Manual,1.2,120.0,Good,1,Private,18.5,82.8,5,Mid-Range,300000,13.6,8.8,185.0,2
Tata,SUV,2011,5,Diesel,Manual,2.2,120.0,Good,1,Taxi,13.9,138.1,7,Budget,240000,14.9,8.1,222.0,1
Ford,Hatchback,2016,2,Diesel,Manual,1.5,80.0,Good,1,Private,25.8,99.0,5,Mid-Range,377000,10.2,7.8,104.0,2
Maruti Suzuki,MUV,2013,3,Petrol,Manual,1.4,140.0,Good,1,Private,16.0,93.7,7,Budget,450000,13.1,10.7,171.6,1
Hyundai,Sedan,2008,4,Petrol + CNG,Manual,1.6,100.0,Excellent,4,Private,13.9,103.2,5,Mid-Range,160000,18.0,5.6,324.0,2
Hyundai,SUV,2019,5,Petrol,Manual,1.2,100.0,Excellent,1,Private,20.1,81.9,5,Mid-Range,525000,6.9,14.5,47.6,2
Toyota,MUV,2011,3,Diesel,Manual,2.5,168.0,Good,2,Private,12.8,102.0,8,Mid-Range,550000,15.1,11.1,228.0,2
Chevrolet,Sedan,2010,12,Diesel,Manual,2.0,120.0,Good,3,Private,18.3,147.9,5,Budget,270000,15.3,7.8,234.1,1
Toyota,Hatchback,2016,7,Diesel,Manual,1.4,145.0,Good,2,Private,23.6,67.0,5,Mid-Range,570000,9.8,14.8,96.0,2
